# Формат: СЛОВО|ПОДСКАЗКА|СЛОЖНОСТЬ
КОТ|Домашний питомец|Легкий
ДОМ|Место жительства|Легкий
КОД|Набор символов|Легкий
ТОМ|Имя или том книги|Легкий
РОТ|Часть лица|Легкий
СОК|Напиток из фруктов|Легкий
НОС|Орган обоняния|Средний
ОСА|Летающее насекомое|Средний
РЕКА|Водный поток|Средний
ЛЕС|Много деревьев|Средний
СЛОН|Крупное животное|Сложный
ЛИСА|Хитрая животное|Сложный
ВОЛК|Лесной хищник|Сложный
СОВА|Ночная птица|Сложный
ЛОСЬ|Лесной великан|Сложный
ИВА|Плакучее дерево|Сложный
ТИГР|Полосатый хищник|Сложный
ЗМЕЯ|Ползучее пресмыкающееся|Сложный
ОРЁЛ|Хищная птица|Сложный
